	(1)	(2)	(3)	(4)	(5)
VARIABLES	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14
					
lndn13	0.280***	0.203***	0.214***	0.239***	0.241***
	[0.063]	[0.055]	[0.053]	[0.060]	[0.057]
fiw		-0.015	-0.017		
		[0.025]	[0.025]		
fiw2		0.002	0.002		
		[0.005]	[0.005]		
low	-0.009	-0.007	0.010	-0.007	-0.000
	[0.017]	[0.013]	[0.019]	[0.015]	[0.017]
low_fiw			-0.003		
			[0.007]		
lndn13_low	0.003	-0.001	-0.018***	0.000	-0.011*
	[0.005]	[0.005]	[0.007]	[0.005]	[0.006]
lndn13_fiw		0.022***	0.016***		
		[0.005]	[0.005]		
lndn13_fiw_low			0.007**		
			[0.003]		
Dpfree				0.001	-0.006
				[0.020]	[0.021]
Dnfree				0.015	0.016
				[0.039]	[0.039]
lndn13_Dpfree				0.041***	0.035**
				[0.015]	[0.014]
lndn13_Dnfree				0.067***	0.046**
				[0.021]	[0.020]
low_Dpfree					0.011
					[0.021]
low_Dnfree					-0.012
					[0.036]
lndn13_Dpfree_low					0.012
					[0.009]
lndn13_Dnfree_low					0.034**
					[0.016]
					
Observations	3,895	3,895	3,895	3,895	3,895
R-squared	0.219	0.260	0.267	0.238	0.247
Country FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
Countries	184	184	184	184	184
sigma		0.374		0.281	
sigma SE		[0.211]		[0.153]	
sigma 95 CI		[0.13 0.95]		[0.09 0.73]	
sigma_high			0.268		0.190
sigma_high SE			[0.159]		[0.121]
sigma_high 95 CI			[0.07 0.66]		[0.02 0.50]
sigma_low			0.424		0.346
sigma_low SE			[0.234]		[0.179]
sigma_low 95 CI			[0.16 1.08]		[0.13 0.87]
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
