	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	baseline	cons	inv	gov	exp	imp	all
							
lndn13	0.228***	0.215***	0.187***	0.264***	0.238***	0.235***	0.246***
	[0.036]	[0.042]	[0.035]	[0.037]	[0.036]	[0.036]	[0.059]
fiw	0.008	0.007	0.007	0.007	0.008	0.008	0.007
	[0.026]	[0.026]	[0.025]	[0.026]	[0.026]	[0.026]	[0.025]
fiw2	-0.001	-0.002	-0.001	-0.001	-0.002	-0.002	-0.002
	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
x		-0.467***	0.549***	-0.576***	0.051	-0.157*	
		[0.126]	[0.107]	[0.203]	[0.094]	[0.082]	
lndn13_fiw	0.015***	0.013***	0.014***	0.016***	0.015***	0.015***	0.013***
	[0.005]	[0.004]	[0.005]	[0.005]	[0.005]	[0.005]	[0.004]
lndn13_x		-0.013	0.127***	-0.261***	-0.044	-0.018	
		[0.042]	[0.039]	[0.097]	[0.027]	[0.029]	
							
Observations	3,416	3,416	3,416	3,416	3,416	3,416	3,416
R-squared	0.223	0.289	0.271	0.245	0.227	0.234	0.342
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.231	0.214	0.224	0.250	0.231	0.224	0.178
sigma SE	[0.109]	[0.107]	[0.108]	[0.115]	[0.112]	[0.106]	[0.092]
sigma 95 CI	[0.07 0.48]	[0.06 0.49]	[0.06 0.49]	[0.09 0.52]	[0.07 0.49]	[0.07 0.47]	[0.06 0.43]
Countries	173	173	173	173	173	173	173
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
