	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	HSW	PS	HR	LZZZ	adj14	adj1417	adj10
							
lndn	0.238***	0.215***	0.166***	0.065***	0.099***	0.159***	0.220***
	[0.035]	[0.040]	[0.042]	[0.021]	[0.032]	[0.032]	[0.044]
fiw	-0.005	-0.354***	-0.043*	0.034	0.022	0.014	-0.012
	[0.022]	[0.128]	[0.026]	[0.035]	[0.032]	[0.030]	[0.025]
fiw2	-0.000	-0.004	0.001	-0.010	-0.005	-0.003	0.001
	[0.004]	[0.004]	[0.005]	[0.006]	[0.006]	[0.005]	[0.005]
lndn_fiw	0.012***	0.011***	0.028***	0.013**	0.017***	0.017***	0.021***
	[0.004]	[0.004]	[0.006]	[0.005]	[0.006]	[0.006]	[0.006]
							
Observations	2,915	3,291	3,622	4,812	4,812	4,812	3,895
R-squared	0.236	0.217	0.211	0.168	0.131	0.178	0.255
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.178	0.181	0.684	0.703	0.583	0.372	0.331
sigma SE	[0.088]	[0.095]	[0.288]	[0.757]	[0.909]	[0.247]	[0.158]
sigma 95 CI	[0.05 0.38]	[0.04 0.40]	[0.32 1.66]	[0.13 2.15]	[0.13 1.72]	[0.10 0.84]	[0.12 0.79]
Countries	179	178	169	185	185	185	184
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
