	(1)	(2)	(3)	(4)	(5)
VARIABLES	baseline	sources	periodicity	methodology	overall
					
lndn13	0.207***	0.056	-0.113	0.103	-0.010
	[0.048]	[0.084]	[0.178]	[0.082]	[0.115]
fiw	0.005	0.013	0.013	0.013	0.015
	[0.028]	[0.027]	[0.027]	[0.028]	[0.027]
fiw2	-0.001	-0.002	-0.003	-0.002	-0.003
	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
lndn13_fiw	0.021***	0.021***	0.019***	0.022***	0.021***
	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]
lndn13_x		0.280**	0.433**	0.226*	0.375**
		[0.116]	[0.213]	[0.123]	[0.165]
					
Observations	2,917	2,917	2,917	2,917	2,917
R-squared	0.257	0.278	0.270	0.268	0.276
Country FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
sigma	0.304	0.273	0.240	0.284	0.261
sigma SE	[0.171]	[0.115]	[0.108]	[0.129]	[0.112]
sigma 95 CI	[0.10 0.75]	[0.11 0.58]	[0.09 0.51]	[0.11 0.62]	[0.10 0.57]
Countries	137	137	137	137	137
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
