	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14
								
lndn13	0.208***		0.286***		0.205***	0.212***	0.219**	0.266**
	[0.047]		[0.054]		[0.042]	[0.043]	[0.087]	[0.113]
fiw	-0.012	-0.017	-0.010	-0.013	-0.014	-0.015	-0.015	-0.015
	[0.025]	[0.025]	[0.025]	[0.025]	[0.025]	[0.025]	[0.025]	[0.025]
fiw2	0.001	0.001	-0.000	-0.000	0.001	0.002	0.002	0.001
	[0.004]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
x						7.402	0.032	0.271
						[5.195]	[0.230]	[0.315]
lndn13_x					0.005**	-1.776	-0.003	-0.040
					[0.002]	[1.267]	[0.077]	[0.107]
lndn13_fiw	0.021***	0.022***	0.015***	0.008*	0.020***	0.022***	0.021***	0.021***
	[0.005]	[0.005]	[0.005]	[0.004]	[0.005]	[0.005]	[0.006]	[0.006]
								
Observations	3,895	3,895	3,895	3,895	3,879	3,895	3,895	3,895
R-squared	0.270	0.0528	0.285	0.0156	0.280	0.262	0.260	0.261
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.350		0.189		0.291	0.358	0.345	0.312
sigma SE	[0.172]		[0.107]		[0.132]	[0.174]	[0.205]	[0.151]
sigma 95 CI	[0.13 0.85]		[0.05 0.48]		[0.10 0.64]	[0.14 0.83]	[0.12 0.80]	[0.11 0.69]
Countries	184	184	184	184	184	184	184	184
Robust standard errors in brackets								
*** p<0.01, ** p<0.05, * p<0.1								
