	(1)	(2)	(3)	(4)	(5)
VARIABLES	ln_oda_gni_in	ln_gdp_pc	ln_gdp_pc_adj	d_ln_gdp_pc	d_ln_gdp_pc_adj
					
ida_cross_post	-0.244***	0.054**	0.029	0.018**	-0.001
	[0.075]	[0.021]	[0.017]	[0.009]	[0.008]
gni_pc	-0.116**	0.071***	0.036**	-0.007**	-0.007**
	[0.048]	[0.013]	[0.015]	[0.003]	[0.003]
					
Observations	1,799	1,799	1,799	1,799	1,799
R-squared	0.245	0.904	0.882	0.0788	0.0699
Country FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
Countries	86	86	86	86	86
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
