	(1)	(2)	(3)	(4)	(5)
VARIABLES	lncons	lninv	lngov	lnexp	lnimp
					
lndn13	0.184***	0.353***	0.210***	0.354***	0.253***
	[0.041]	[0.083]	[0.060]	[0.077]	[0.054]
fiw	-0.003	0.023	-0.002	-0.007	-0.006
	[0.035]	[0.062]	[0.041]	[0.058]	[0.042]
fiw2	-0.002	-0.010	-0.001	-0.004	-0.005
	[0.006]	[0.012]	[0.007]	[0.011]	[0.008]
lndn13_fiw	0.004	0.040***	0.030***	0.011	0.013*
	[0.006]	[0.010]	[0.007]	[0.012]	[0.008]
					
Observations	3,416	3,414	3,416	3,416	3,416
R-squared	0.0812	0.141	0.128	0.0950	0.0987
Country FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
sigma	0.078	0.400	0.505	0.105	0.174
sigma SE	[0.126]	[0.245]	[0.362]	[0.188]	[0.156]
sigma 95 CI	[-0.15 0.38]	[0.15 0.96]	[0.20 1.45]	[-0.17 0.45]	[-0.02 0.53]
Countries	173	173	173	173	173
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
