	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	polity	DemocP5	AutocP5	VA	AutocDD	AutocPS	AutocANRR
							
lndn13	0.338***	0.326***	0.290***	0.199***	0.242***	0.253***	0.266***
	[0.041]	[0.036]	[0.036]	[0.036]	[0.047]	[0.053]	[0.041]
x	0.004	0.018	0.002	-0.062**	0.023	0.057*	0.019
	[0.003]	[0.014]	[0.012]	[0.024]	[0.027]	[0.032]	[0.025]
x2	0.000	0.001	0.000	0.077***			
	[0.000]	[0.001]	[0.002]	[0.023]			
lndn13_x	0.003**	0.005**	0.007***	0.070***	0.024	0.043**	0.023**
	[0.001]	[0.002]	[0.003]	[0.013]	[0.015]	[0.018]	[0.011]
							
Observations	3,320	3,231	3,231	2,740	2,994	1,937	3,225
R-squared	0.256	0.227	0.231	0.221	0.191	0.248	0.209
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.096	0.114	0.096	0.604	0.099	0.170	0.086
sigma SE	[0.044]	[0.049]	[0.046]	[0.199]	[0.078]	[0.094]	[0.049]
sigma 95 CI	[0.02 0.19]	[0.01 0.21]	[0.03 0.25]	[0.31 1.11]	[-0.01 0.30]	[0.04 0.40]	[0.01 0.21]
Countries	156	156	156	188	183	168	175
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
