	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	baseline	Avg_days	Avg_days	Sh_returned	Sh_returned	Sh_returned90	Sh_returned90
							
lndn13	0.282***	0.202***	0.196***	0.407***	0.346***	0.384***	0.336***
	[0.042]	[0.062]	[0.062]	[0.050]	[0.055]	[0.041]	[0.045]
fiw	-0.004	0.012	-0.002	0.015	-0.001	0.010	-0.004
	[0.029]	[0.028]	[0.028]	[0.028]	[0.028]	[0.028]	[0.028]
fiw2	-0.001	-0.005	-0.002	-0.005	-0.002	-0.005	-0.001
	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
lndn13_fiw	0.015***		0.010**		0.011**		0.010**
	[0.005]		[0.005]		[0.005]		[0.005]
lndn13_x		0.048**	0.036*	-0.155**	-0.114*	-0.210***	-0.167***
		[0.019]	[0.018]	[0.067]	[0.065]	[0.063]	[0.061]
							
Observations	3,250	3,250	3,250	3,250	3,250	3,250	3,250
R-squared	0.277	0.279	0.284	0.277	0.283	0.282	0.286
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.183		0.126		0.133		0.124
sigma SE	[0.093]		[0.080]		[0.081]		[0.081]
sigma 95 CI	[0.05 0.40]		[0.01 0.32]		[0.02 0.32]		[0.01 0.32]
Countries	153	153	153	153	153	153	153
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
